Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
COL,Berner,John,GK,"$36,500","$36,500.00",2014
NYRB,Bitolo,Ambroise,D,"$36,500","$36,500.00",2014
NYRB,Bover,Ruben,M,"$36,500","$36,500.00",2014
NYRB,Castano,Santiago,GK,"$36,500","$36,500.00",2014
KC,Duke,Christian,D,"$36,500","$36,500.00",2014
RSL,Fernandez,Eduardo,GK,"$36,500","$36,500.00",2014
POR,Fochive,George,M,"$36,500","$36,500.00",2014
CHI,Franco,Marco,D,"$36,500","$36,500.00",2014
CLB,Friedman,Ross,D,"$36,500","$36,500.00",2014
LA,Jamieson,Bradford,F,"$36,500","$36,500.00",2014
LA,Mendiola,Raul,F,"$36,500","$36,500.00",2014
SEA,Remick,Dylan,D,"$36,500","$36,500.00",2014
DC,Shanosky,Conor,D,"$36,500","$36,500.00",2014
NE,Smith,Donnie,M,"$36,500","$36,500.00",2014
NE,Soffner,Luis,GK,"$36,500","$36,500.00",2014
CHV,Toia,Donny,D,"$36,500","$36,500.00",2014
DAL,Top,Jonathan,F,"$36,500","$36,500.00",2014
CLB,Walker,Matt,M,"$36,500","$36,500.00",2014
DAL,Walker,Nick,D,"$36,500","$36,500.00",2014
COL,Watts,Jared,M,"$36,500","$36,500.00",2014
POR,Peay,Taylor,D,"$36,500","$36,500.04",2014
TOR,Aparicio,Manuel,M,"$36,504","$36,504.00",2014
HOU,Arena,Anthony,D,"$36,504","$36,504.00",2014
COL,Armstrong,David,M,"$36,504","$36,504.00",2014
CLB,Baiden,Kingsley,M,"$36,504","$36,504.00",2014
CLB,Bedell,Adam,F,"$36,504","$36,504.00",2014
MTL,Beland-Goyette,Louis,M,"$36,504","$36,504.00",2014
VAN,Carducci,Marco,GK,"$36,504","$36,504.00",2014
NYRB,Duvall,Chris,D,"$36,504","$36,504.00",2014
NE,Jackson,Larry,GK,"$36,504","$36,504.00",2014
MTL,Jackson-Hamel,Anthony,F,"$36,504","$36,504.00",2014
KC,Kafari,Michael,M,"$36,504","$36,504.00",2014
DC,Kemp,Taylor,D,"$36,504","$36,504.00",2014
SJ,Knutsen,Billy,GK,"$36,504","$36,504.00",2014
HOU,Lisch,Michael,GK,"$36,504","$36,504.00",2014
SEA,Long,Aaron,M,"$36,504","$36,504.00",2014
TOR,Lovitz,Daniel,M,"$36,504","$36,504.00",2014
TOR,Mannella,Chris,M,"$36,504","$36,504.00",2014
