Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
PHI,Anding,Don,F,"$35,125","$35,125.00",2013
TOR,Aparicio,Manuel,M,"$35,125","$35,125.00",2013
HOU,Arena,Anthony,D,"$35,125","$35,125.00",2013
RSL,Balchan,Rich,D,"$35,125","$35,125.00",2013
SEA,Bates,Will,F,"$35,125","$35,125.00",2013
CLB,Beckie,Drew,D,"$35,125","$35,125.00",2013
NYRB,Bover,Ruben,M,"$35,125","$35,125.00",2013
NYRB,Castano,Santiago,GK,"$35,125","$35,125.00",2013
CHV,Chueca,Carlo,M,"$35,125","$35,125.00",2013
LA,Cochrane,Greg,D,"$35,125","$35,125.00",2013
MTL,Crepeau,Maxime,GK,"$35,125","$35,125.00",2013
CHV,de la Fuente,Bryan,F,"$35,125","$35,125.00",2013
MTL,DelPiccolo,Paolo,M,"$35,125","$35,125.00",2013
NE,Duckett,Bilal,D,"$35,125","$35,125.00",2013
KC,Duke,Christian,D,"$35,125","$35,125.00",2013
PHI,Fernandes,Leo,M,"$35,125","$35,125.00",2013
RSL,Fernandez,Eduardo,GK,"$35,125","$35,125.00",2013
SEA,Gavin,Blair,M,"$35,125","$35,125.00",2013
DAL,Gonzalez,Jesse,GK,"$35,125","$35,125.00",2013
COL,Griffiths,Brenton,D,"$35,125","$35,125.00",2013
POOL,Herrick,Doug,GK,"$35,125","$35,125.00",2013
NE,Horth,Matthew,F,"$35,125","$35,125.00",2013
CLB,Hyland,Kyle,D,"$35,125","$35,125.00",2013
COL,Irwin,Clint,GK,"$35,125","$35,125.00",2013
SJ,Jahn,Adam,F,"$35,125","$35,125.00",2013
CHI,Jumper,Hunter,D,"$35,125","$35,125.00",2013
CHI,Kann,Alec,GK,"$35,125","$35,125.00",2013
DC,Kemp,Taylor,D,"$35,125","$35,125.00",2013
COL,Kindle,Kory,D,"$35,125","$35,125.00",2013
CHI,King,Brendan,M,"$35,125","$35,125.00",2013
NE,Latigue,Gabe,M,"$35,125","$35,125.00",2013
MTL,Lefevre,Wandrille,M,"$35,125","$35,125.00",2013
SEA,Lund,Philip,M,"$35,125","$35,125.00",2013
SJ,McGlynn,Peter,D,"$35,125","$35,125.00",2013
KC,Mechack,Jerome,D,"$35,125","$35,125.00",2013
KC,Medranda,Jimmy,M,"$35,125","$35,125.00",2013
MTL,Messoudi,Zakaria,M,"$35,125","$35,125.00",2013
KC,Miller,Kyle,M,"$35,125","$35,125.00",2013
CHV,Morales,Julio,F,"$35,125","$35,125.00",2013
NYRB,Moreno,Amando,F,"$35,125","$35,125.00",2013
SJ,Muller,Tommy,D,"$35,125","$35,125.00",2013
NYRB,Obekop,Marius,M,"$35,125","$35,125.00",2013
LA,Opare,Kofi,D,"$35,125","$35,125.00",2013
SEA,Remick,Dylan,D,"$35,125","$35,125.00",2013
TOR,Richter,Ryan,F,"$35,125","$35,125.00",2013
MTL,Rodriguez,Maximiliano,M,"$35,125","$35,125.00",2013
LA,Rugg,Charlie,F,"$35,125","$35,125.00",2013
KC,Ruiz,Brendan,D,"$35,125","$35,125.00",2013
RSL,Salcedo,Carlos,D,"$35,125","$35,125.00",2013
