Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
NYRB,Abang,Anatole,F,"$65,625.00","$65,625.00",2017
KC,Abdul-Salaam,Saad,D,"$96,800.00","$110,550.00",2017
CLB,Abu,Mohammed,M,"$165,000.00","$171,250.00",2017
CLB,Abubakar,Alhassan Lalas,D,"$65,000.04","$72,500.04",2017
CHI,Accam,David,F-M,"$750,000.00","$820,937.50",2017
RSL,Acosta,Danilo,M,"$65,625.00","$65,625.00",2017
DAL,Acosta,Kellyn,M,"$260,000.00","$280,000.00",2017
DC,Acosta,Luciano,M-F,"$500,000.00","$602,000.00",2017
NYRB,Adams,Tyler,M,"$75,000.00","$91,041.67",2017
SEA,Adekoya,Seyi,F,"$53,004.00","$53,004.00",2017
VAN,Adekugbe,Samuel,D,"$80,000.00","$85,000.00",2017
POR,Adi,Fanendo,F,"$1,190,004.00","$1,736,254.00",2017
COL,Adjei-Boateng,Bismark,M,"$300,000.00","$341,246.00",2017
CLB,Afful,Harrison,D,"$280,000.00","$296,666.67",2017
NE,Agudelo,Juan,F,"$475,000.00","$502,500.00",2017
ORL,Aja,Jose,D,"$216,000.00","$216,000.00",2017
DAL,Akindele,Tesho,F-M,"$95,000.00","$112,500.00",2017
SJ,Alashe,Fatai,M,"$98,175.00","$114,425.00",2017
PHI,Alberg,Roland,M,"$345,000.00","$394,250.00",2017
LA,Alessandrini,Romain,M,"$1,669,400.64","$1,999,400.64",2017
HOU,Alexander,Eric,M,"$190,000.00","$203,750.00",2017
SEA,Alfaro,Tony,D,"$54,075.00","$54,075.00",2017
NYRB,Allen,Brandon,F,"$65,625.00","$65,625.00",2017
RSL,Allen,Jordan,M,"$178,000.00","$178,000.00",2017
NYCFC,Allen,RJ,D,"$100,000.08","$101,666.75",2017
ATL,Almiron,Miguel,M,"$1,912,500.00","$2,297,000.00",2017
SEA,Alonso,Osvaldo,M,"$1,100,000.00","$1,141,667.00",2017
TOR,Alseth,Oyvind,M-D,"$53,004.00","$53,004.00",2017
ORL,Alston,Kevin,D,"$135,000.00","$135,000.00",2017
TOR,Altidore,Jozy,F,"$4,875,000.00","$4,875,000.00",2017
CHI,Alvarez,Arturo,M,"$135,000.00","$142,500.00",2017
LAFC,Alvarez,Carlos,M,"$65,004.00","$65,004.00",2017
MNUFC,Alvbage,John,GK,"$229,998.00","$247,748.00",2017
SJ,Amarikwa,Quincy,F,"$256,500.00","$270,166.67",2017
ATL,Ambrose,Mikey,D,"$65,625.00","$65,625.00",2017
POR,Andriuskevicius,Vytautas,D,"$222,500.00","$244,375.00",2017
NE,Angoua,Benjamin,D,"$600,000.00","$654,333.33",2017
HOU,Anibaba,Jalil,D,"$110,004.00","$110,004.00",2017
MNUFC,Anor,Bernardo,M,"$105,000.00","$105,000.00",2017
POR,Arboleda,Victor,M-F,"$65,000.04","$65,000.04",2017
LA,Arellano,Hugo,D,"$65,000.00","$72,375.00",2017
POR,Arokoyo,Gbenga,D,"$135,000.00","$155,600.00",2017
MTL,Arregui,Adrian,M,"$240,000.00","$290,976.67",2017
CHI,Arshakyan,David,F,"$156,000.00","$178,850.00",2017
ATL,Asad,Yamil,M,"$150,000.00","$150,000.00",2017
POR,Asprilla,Dairon,M-F,"$138,000.00","$138,000.00",2017
POR,Attinella,Jeff,GK,"$100,000.00","$105,083.33",2017
TOR,Aubrey,Brandon,D,"$75,000.00","$93,750.00",2017
NYCFC,Awuah,Kwame,D-M,"$53,004.00","$53,004.00",2017
PHI,Ayuk,Eric,M,"$65,625.00","$65,625.00",2017
COL,Azira,Michael,M,"$110,000.00","$116,625.00",2017
NYRB,Baah,Gideon,D,"$230,000.00","$315,500.00",2017
,Babouli,Mo,F,"$54,075.00","$54,075.00",2017
COL,Badji,Dominique,F,"$65,000.00","$65,000.00",2017
POR,Barmby,Jack,M-F,"$65,004.00","$65,004.00",2017
ORL,Barnes,Giles,F-M,"$725,000.00","$781,250.00",2017
SJ,Barrera,Leandro,F,"$100,000.00","$100,000.00",2017
RSL,Barrett,Chad,F,"$99,000.00","$105,000.00",2017
DAL,Barrios,Michael,M,"$100,000.00","$100,000.00",2017
ORL,Barry,Hadji,F,"$68,750.00","$73,312.50",2017
NYRB,Basuljevic,Arun,M,"$53,004.00","$53,004.00",2017
HOU,Beasley,DaMarcus,D,"$316,008.00","$351,008.00",2017
RSL,Beckerman,Kyle,M,"$750,000.00","$825,000.00",2017
PHI,Bedoya,Alejandro,M,"$1,131,000.00","$1,197,250.00",2017
