Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
MTL,Salazar,Michael,F,"$51,492","$51,492.00",2016
CLB,Hollingsworth,Marshall,M,"$51,500","$51,499.92",2016
CLB,Pacifici,Matt,GK,"$51,500","$51,499.92",2016
HOU,Escalante,Jose,M,"$51,500","$51,499.92",2016
KC,Appiah,Emmanuel,M,"$51,500","$51,499.92",2016
SJ,Colvey,Kip,D,"$51,500","$51,499.92",2016
CHI,Calistri,Joey,M,"$51,500","$51,500.00",2016
CHI,Morrell,Alex,M,"$51,500","$51,500.00",2016
DAL,Guillen,Aaron,D,"$51,500","$51,500.00",2016
HOU,Brown,Calle,GK,"$51,500","$51,500.00",2016
KC,Salloi,Daniel,F,"$51,500","$51,500.00",2016
LA,Lassiter,Ariel,F,"$51,500","$51,500.00",2016
MTL,Choiniere,David,M,"$51,500","$51,500.00",2016
MTL,Dia,Amadou,D,"$51,500","$51,500.00",2016
MTL,Gagnon-Lapare,Jeremy,M,"$51,500","$51,500.00",2016
NYCFC,Lopez,Mikey,M,"$51,500","$51,500.00",2016
NYRB,Bilyeu,Justin,D,"$51,500","$51,500.00",2016
ORL,Stajduhar,Mason,GK,"$51,500","$51,500.00",2016
PHI,Missimo,Cole,M,"$51,500","$51,500.00",2016
PHI,Tribbett,Ken,D,"$51,500","$51,500.00",2016
PHI,Washington,Taylor,D,"$51,500","$51,500.00",2016
RSL,Kavita,Phanuel,D,"$51,500","$51,500.00",2016
SEA,Alfaro,Tony,D,"$51,500","$51,500.00",2016
TOR,Babouli,Mo,F,"$51,500","$51,500.00",2016
TOR,Endoh,Tsubasa,F,"$51,500","$51,500.00",2016
VAN,Seiler,Cole,D,"$51,500","$51,500.00",2016
COL,Castillo,Dennis,D,"$51,500","$51,500.04",2016
NE,Hollinger-Janzen,Femi,F,"$51,500","$51,500.04",2016
NE,Turner,Matt,GK,"$51,500","$51,500.04",2016
NYCFC,Gomez,Shannon,D,"$51,500","$51,500.04",2016
ATL,Oblitey Otoo,Jeffrey,M-F,"$51,504","$51,504.00",2016
CLB,Saravia,Rodrigo,M,"$51,504","$51,504.00",2016
DAL,Bonner,Colin,F,"$51,504","$51,504.00",2016
DAL,Pitter,Timo,M-F,"$51,504","$51,504.00",2016
KC,Joya,Benjamin,M,"$51,504","$51,504.00",2016
NYRB,Long,Aaron,D,"$51,504","$51,504.00",2016
POR,Brett,Neco,M,"$51,504","$51,504.00",2016
POR,Hamilton,Wade,GK,"$51,504","$51,504.00",2016
SEA,Anderson,Oalex,F,"$51,504","$51,504.00",2016
HOU,Lucatero,Christian,M,"$51,500","$51,750.00",2016
